Episode,Reward
1,-162.88265573978424
2,-141.26275849342346
3,-160.01275765895844
4,-151.36479902267456
5,-139.83418703079224
6,-159.98724699020386
7,-142.7040845155716
8,-170.08928763866425
9,-138.36734974384308
10,-138.36734974384308
11,-149.91071689128876
12,-144.14541113376617
13,-157.13010478019714
14,-134.0816353559494
15,-149.89796125888824
16,-134.05612468719482
17,-144.1454108953476
18,-128.2780637741089
19,-145.6122475862503
20,-158.5841861963272
21,-139.8086757659912
22,-126.87500274181366
23,-149.91071689128876
24,-131.19898223876953
25,-155.6760231256485
26,-185.94388055801392
27,-135.5229618549347
28,-154.23469638824463
29,-134.0816353559494
30,-147.02806401252747
31,-149.89796149730682
32,-138.39285945892334
33,-136.95153331756592
34,-148.50765538215637
35,-165.79081904888153
36,-151.36479878425598
37,-170.0892881155014
38,-142.70408427715302
39,-136.95153284072876
40,-148.48214542865753
41,-142.70408403873444
42,-152.7933702468872
43,-160.00000262260437
44,-139.8214316368103
45,-126.8367371559143
46,-138.3801040649414
47,-125.44643080234528
48,-152.79337072372437
49,-145.58673691749573
50,-142.70408499240875
51,-147.04081881046295
52,-141.25000309944153
53,-142.70408403873444
54,-136.938778758049
55,-164.31122744083405
56,-167.20663607120514
57,-162.88265573978424
58,-167.20663511753082
59,-145.58673763275146
60,-145.58673739433289
61,-142.70408403873444
62,-142.71683990955353
63,-136.93877851963043
64,-142.70408475399017
65,-148.49489998817444
66,-145.57398283481598
67,-147.02806425094604
68,-147.04081857204437
69,-155.70153260231018
70,-135.49745166301727
71,-165.77806389331818
72,-145.58673787117004
73,-128.30357372760773
74,-149.92347168922424
75,-147.0535739660263
76,-145.58673763275146
77,-145.58673787117004
78,-147.05357444286346
79,-142.7168389558792
80,-152.7933704853058
81,-145.61224710941315
82,-141.26275825500488
83,-152.80612564086914
84,-123.97959470748901
85,-149.93622660636902
86,-158.5586757659912
87,-144.15816569328308
88,-142.71683871746063
89,-141.27551305294037
90,-131.18622732162476
91,-125.4081654548645
92,-135.49745118618011
93,-144.15816593170166
94,-123.97959470748901
95,-139.8214316368103
96,-135.51020562648773
97,-128.3035739660263
98,-145.58673787117004
99,-148.49490022659302
100,-139.83418679237366
101,-132.65306341648102
102,-141.2755125761032
103,-135.51020658016205
104,-154.24745213985443
105,-131.1862268447876
106,-139.83418655395508
107,-147.02806425094604
108,-138.38010478019714
109,-157.11734902858734
110,-144.1326562166214
111,-160.02551209926605
112,-147.0153090953827
113,-136.93877851963043
114,-131.18622708320618
115,-142.72959423065186
116,-152.7933692932129
117,-152.80612540245056
118,-151.3520429134369
119,-138.39286017417908
120,-152.79337072372437
121,-149.92347168922424
122,-148.4566354751587
123,-147.0408192873001
124,-155.70153403282166
125,-132.61479830741882
126,-158.57143187522888
127,-139.83418655395508
128,-154.2346968650818
129,-152.7933702468872
130,-154.24745190143585
131,-162.88265669345856
132,-157.13010478019714
133,-135.51020658016205
134,-148.4821456670761
135,-135.49745118618011
136,-135.49745166301727
137,-135.49745118618011
138,-145.58673739433289
139,-161.45408427715302
