Day,Hour,Position,Controller_ID
1,0,1,28
1,0,2,71
1,0,3,43
1,0,4,40
1,0,5,63
1,0,6,35
1,0,7,58
1,0,8,18
1,0,9,52
1,0,10,6
1,1,1,70
1,1,2,23
1,1,3,50
1,1,4,25
1,1,5,3
1,1,6,5
1,1,7,95
1,1,8,39
1,1,9,55
1,1,10,54
1,2,1,28
1,2,2,62
1,2,3,41
1,2,4,40
1,2,5,63
1,2,6,35
1,2,7,58
1,2,8,18
1,2,9,30
1,2,10,52
1,3,1,70
1,3,2,71
1,3,3,43
1,3,4,25
1,3,5,3
1,3,6,72
1,3,7,31
1,3,8,77
1,3,9,82
1,3,10,54
1,4,1,35
1,4,2,0
1,4,3,58
1,4,4,40
1,4,5,62
1,4,6,76
1,4,7,64
1,4,8,24
1,4,9,52
1,4,10,6
1,5,1,27
1,5,2,23
1,5,3,43
1,5,4,56
1,5,5,3
1,5,6,68
1,5,7,65
1,5,8,77
1,5,9,81
1,5,10,54
1,6,1,29
1,6,2,71
1,6,3,50
1,6,4,88
1,6,5,83
1,6,6,35
1,6,7,58
1,6,8,18
1,6,9,52
1,6,10,5
1,7,1,28
1,7,2,23
1,7,3,43
1,7,4,40
1,7,5,14
1,7,6,76
1,7,7,64
1,7,8,39
1,7,9,30
1,7,10,54
1,8,1,27
1,8,2,81
1,8,3,50
1,8,4,25
1,8,5,3
1,8,6,35
1,8,7,31
1,8,8,77
1,8,9,59
1,8,10,65
1,9,1,92
1,9,2,53
1,9,3,41
1,9,4,40
1,9,5,43
1,9,6,22
1,9,7,58
1,9,8,18
1,9,9,30
1,9,10,54
1,10,1,28
1,10,2,23
1,10,3,50
1,10,4,49
1,10,5,3
1,10,6,35
1,10,7,95
1,10,8,24
1,10,9,52
1,10,10,47
1,11,1,27
1,11,2,0
1,11,3,43
1,11,4,25
1,11,5,62
1,11,6,72
1,11,7,58
1,11,8,39
1,11,9,82
1,11,10,65
1,12,1,28
1,12,2,23
1,12,3,41
1,12,4,49
1,12,5,63
1,12,6,92
1,12,7,64
1,12,8,18
1,12,9,30
1,12,10,54
1,13,1,35
1,13,2,71
1,13,3,43
1,13,4,25
1,13,5,3
1,13,6,72
1,13,7,31
1,13,8,77
1,13,9,52
1,13,10,60
1,14,1,28
1,14,2,23
1,14,3,50
1,14,4,40
1,14,5,62
1,14,6,76
1,14,7,58
1,14,8,18
1,14,9,55
1,14,10,54
1,15,1,27
1,15,2,71
1,15,3,41
1,15,4,25
1,15,5,3
1,15,6,35
1,15,7,31
1,15,8,39
1,15,9,81
1,15,10,65
1,16,1,70
1,16,2,53
1,16,3,50
1,16,4,49
1,16,5,63
1,16,6,76
1,16,7,58
1,16,8,77
1,16,9,30
1,16,10,54
1,17,1,29
1,17,2,71
1,17,3,41
1,17,4,40
1,17,5,3
1,17,6,5
1,17,7,31
1,17,8,18
1,17,9,52
1,17,10,60
1,18,1,27
1,18,2,23
1,18,3,43
1,18,4,25
1,18,5,62
1,18,6,76
1,18,7,58
1,18,8,7
1,18,9,55
1,18,10,54
1,19,1,28
1,19,2,71
1,19,3,50
1,19,4,40
1,19,5,3
1,19,6,35
1,19,7,65
1,19,8,18
1,19,9,52
1,19,10,60
1,20,1,27
1,20,2,14
1,20,3,41
1,20,4,25
1,20,5,63
1,20,6,76
1,20,7,58
1,20,8,77
1,20,9,54
1,20,10,6
1,21,1,82
1,21,2,23
1,21,3,43
1,21,4,56
1,21,5,62
1,21,6,92
1,21,7,31
1,21,8,18
1,21,9,30
1,21,10,60
1,22,1,28
1,22,2,0
1,22,3,50
1,22,4,25
1,22,5,3
1,22,6,22
1,22,7,64
1,22,8,39
1,22,9,55
1,22,10,54
1,23,1,35
1,23,2,23
1,23,3,41
1,23,4,56
1,23,5,62
1,23,6,72
1,23,7,58
1,23,8,24
1,23,9,30
1,23,10,52
2,0,1,29
2,0,2,0
2,0,3,50
2,0,4,56
2,0,5,62
2,0,6,35
2,0,7,58
2,0,8,18
2,0,9,30
2,0,10,54
2,1,1,28
2,1,2,71
2,1,3,22
2,1,4,49
2,1,5,63
2,1,6,72
2,1,7,95
2,1,8,39
2,1,9,52
2,1,10,60
2,2,1,27
2,2,2,23
2,2,3,43
2,2,4,25
2,2,5,62
2,2,6,35
2,2,7,58
2,2,8,24
2,2,9,30
2,2,10,6
2,3,1,28
2,3,2,81
2,3,3,41
2,3,4,49
2,3,5,99
2,3,6,72
2,3,7,65
2,3,8,18
2,3,9,52
2,3,10,96
2,4,1,35
2,4,2,0
2,4,3,50
2,4,4,56
2,4,5,63
2,4,6,76
2,4,7,95
2,4,8,39
2,4,9,54
2,4,10,87
2,5,1,28
2,5,2,81
2,5,3,22
2,5,4,42
2,5,5,62
2,5,6,72
2,5,7,58
2,5,8,18
2,5,9,30
2,5,10,65
2,6,1,27
2,6,2,23
2,6,3,43
2,6,4,25
2,6,5,3
2,6,6,56
2,6,7,31
2,6,8,39
2,6,9,55
2,6,10,6
2,7,1,35
2,7,2,0
2,7,3,41
2,7,4,49
2,7,5,83
2,7,6,72
2,7,7,58
2,7,8,18
2,7,9,30
2,7,10,52
2,8,1,28
2,8,2,81
2,8,3,50
2,8,4,40
2,8,5,14
2,8,6,68
2,8,7,65
2,8,8,39
2,8,9,55
2,8,10,54
2,9,1,27
2,9,2,23
2,9,3,41
2,9,4,43
2,9,5,3
2,9,6,72
2,9,7,31
2,9,8,74
2,9,9,30
2,9,10,6
2,10,1,28
2,10,2,71
2,10,3,50
2,10,4,25
2,10,5,63
2,10,6,35
2,10,7,58
2,10,8,39
2,10,9,55
2,10,10,54
2,11,1,81
2,11,2,23
2,11,3,41
2,11,4,40
2,11,5,3
2,11,6,72
2,11,7,95
2,11,8,18
2,11,9,8
2,11,10,65
2,12,1,28
2,12,2,70
2,12,3,43
2,12,4,25
2,12,5,83
2,12,6,35
2,12,7,58
2,12,8,77
2,12,9,30
2,12,10,52
2,13,1,27
2,13,2,23
2,13,3,22
2,13,4,11
2,13,5,63
2,13,6,76
2,13,7,64
2,13,8,18
2,13,9,81
2,13,10,54
2,14,1,35
2,14,2,71
2,14,3,50
2,14,4,25
2,14,5,62
2,14,6,72
2,14,7,65
2,14,8,39
2,14,9,30
2,14,10,52
2,15,1,28
2,15,2,23
2,15,3,41
2,15,4,43
2,15,5,3
2,15,6,76
2,15,7,58
2,15,8,18
2,15,9,55
2,15,10,54
2,16,1,92
2,16,2,71
2,16,3,50
2,16,4,40
2,16,5,62
2,16,6,56
2,16,7,64
2,16,8,24
2,16,9,60
2,16,10,65
2,17,1,28
2,17,2,23
2,17,3,41
2,17,4,25
2,17,5,63
2,17,6,35
2,17,7,95
2,17,8,39
2,17,9,22
2,17,10,54
2,18,1,82
2,18,2,81
2,18,3,43
2,18,4,57
2,18,5,14
2,18,6,72
2,18,7,58
2,18,8,77
2,18,9,30
2,18,10,47
2,19,1,28
2,19,2,23
2,19,3,50
2,19,4,49
2,19,5,78
2,19,6,35
2,19,7,64
2,19,8,39
2,19,9,52
2,19,10,54
2,20,1,27
2,20,2,81
2,20,3,41
2,20,4,25
2,20,5,63
2,20,6,76
2,20,7,31
2,20,8,77
2,20,9,30
2,20,10,65
2,21,1,92
2,21,2,23
2,21,3,43
2,21,4,49
2,21,5,3
2,21,6,35
2,21,7,58
2,21,8,18
2,21,9,95
2,21,10,54
2,22,1,70
2,22,2,0
2,22,3,22
2,22,4,25
2,22,5,62
2,22,6,72
2,22,7,64
2,22,8,77
2,22,9,30
2,22,10,52
2,23,1,27
2,23,2,71
2,23,3,41
2,23,4,49
2,23,5,14
2,23,6,35
2,23,7,65
2,23,8,7
2,23,9,59
2,23,10,54
3,0,1,28
3,0,2,81
3,0,3,41
3,0,4,40
3,0,5,63
3,0,6,92
3,0,7,31
3,0,8,18
3,0,9,30
3,0,10,65
3,1,1,29
3,1,2,23
3,1,3,43
3,1,4,49
3,1,5,99
3,1,6,35
3,1,7,2
3,1,8,77
3,1,9,52
3,1,10,47
3,2,1,28
3,2,2,62
3,2,3,50
3,2,4,56
3,2,5,3
3,2,6,72
3,2,7,58
3,2,8,18
3,2,9,30
3,2,10,65
3,3,1,29
3,3,2,53
3,3,3,43
3,3,4,40
3,3,5,83
3,3,6,92
3,3,7,31
3,3,8,77
3,3,9,55
3,3,10,54
3,4,1,27
3,4,2,68
3,4,3,22
3,4,4,56
3,4,5,78
3,4,6,35
3,4,7,64
3,4,8,18
3,4,9,52
3,4,10,60
3,5,1,28
3,5,2,0
3,5,3,43
3,5,4,40
3,5,5,62
3,5,6,90
3,5,7,58
3,5,8,77
3,5,9,30
3,5,10,54
3,6,1,27
3,6,2,23
3,6,3,50
3,6,4,25
3,6,5,63
3,6,6,35
3,6,7,31
3,6,8,18
3,6,9,59
3,6,10,60
3,7,1,70
3,7,2,71
3,7,3,41
3,7,4,43
3,7,5,3
3,7,6,72
3,7,7,58
3,7,8,39
3,7,9,30
3,7,10,54
3,8,1,27
3,8,2,23
3,8,3,50
3,8,4,49
3,8,5,63
3,8,6,35
3,8,7,65
3,8,8,18
3,8,9,52
3,8,10,87
3,9,1,70
3,9,2,0
3,9,3,22
3,9,4,40
3,9,5,62
3,9,6,72
3,9,7,58
3,9,8,39
3,9,9,30
3,9,10,54
3,10,1,28
3,10,2,23
3,10,3,41
3,10,4,25
3,10,5,78
3,10,6,35
3,10,7,64
3,10,8,18
3,10,9,55
3,10,10,47
3,11,1,27
3,11,2,81
3,11,3,50
3,11,4,40
3,11,5,3
3,11,6,76
3,11,7,58
3,11,8,39
3,11,9,30
3,11,10,54
3,12,1,28
3,12,2,23
3,12,3,41
3,12,4,43
3,12,5,78
3,12,6,72
3,12,7,31
3,12,8,74
3,12,9,55
3,12,10,65
3,13,1,27
3,13,2,71
3,13,3,58
3,13,4,88
3,13,5,83
3,13,6,35
3,13,7,2
3,13,8,18
3,13,9,82
3,13,10,6
3,14,1,1
3,14,2,23
3,14,3,50
3,14,4,25
3,14,5,3
3,14,6,72
3,14,7,31
3,14,8,77
3,14,9,52
3,14,10,65
3,15,1,70
3,15,2,71
3,15,3,22
3,15,4,49
3,15,5,78
3,15,6,92
3,15,7,64
3,15,8,18
3,15,9,30
3,15,10,54
3,16,1,-1
3,16,2,-1
3,16,3,-1
3,16,4,-1
3,16,5,-1
3,16,6,-1
3,16,7,-1
3,16,8,-1
3,16,9,-1
3,16,10,-1
3,17,1,-1
3,17,2,-1
3,17,3,-1
3,17,4,-1
3,17,5,-1
3,17,6,-1
3,17,7,-1
3,17,8,-1
3,17,9,-1
3,17,10,-1
3,18,1,-1
3,18,2,-1
3,18,3,-1
3,18,4,-1
3,18,5,-1
3,18,6,-1
3,18,7,-1
3,18,8,-1
3,18,9,-1
3,18,10,-1
3,19,1,-1
3,19,2,-1
3,19,3,-1
3,19,4,-1
3,19,5,-1
3,19,6,-1
3,19,7,-1
3,19,8,-1
3,19,9,-1
3,19,10,-1
3,20,1,-1
3,20,2,-1
3,20,3,-1
3,20,4,-1
3,20,5,-1
3,20,6,-1
3,20,7,-1
3,20,8,-1
3,20,9,-1
3,20,10,-1
3,21,1,-1
3,21,2,-1
3,21,3,-1
3,21,4,-1
3,21,5,-1
3,21,6,-1
3,21,7,-1
3,21,8,-1
3,21,9,-1
3,21,10,-1
3,22,1,-1
3,22,2,-1
3,22,3,-1
3,22,4,-1
3,22,5,-1
3,22,6,-1
3,22,7,-1
3,22,8,-1
3,22,9,-1
3,22,10,-1
3,23,1,-1
3,23,2,-1
3,23,3,-1
3,23,4,-1
3,23,5,-1
3,23,6,-1
3,23,7,-1
3,23,8,-1
3,23,9,-1
3,23,10,-1
4,0,1,-1
4,0,2,-1
4,0,3,-1
4,0,4,-1
4,0,5,-1
4,0,6,-1
4,0,7,-1
4,0,8,-1
4,0,9,-1
4,0,10,-1
4,1,1,-1
4,1,2,-1
4,1,3,-1
4,1,4,-1
4,1,5,-1
4,1,6,-1
4,1,7,-1
4,1,8,-1
4,1,9,-1
4,1,10,-1
4,2,1,-1
4,2,2,-1
4,2,3,-1
4,2,4,-1
4,2,5,-1
4,2,6,-1
4,2,7,-1
4,2,8,-1
4,2,9,-1
4,2,10,-1
4,3,1,-1
4,3,2,-1
4,3,3,-1
4,3,4,-1
4,3,5,-1
4,3,6,-1
4,3,7,-1
4,3,8,-1
4,3,9,-1
4,3,10,-1
4,4,1,-1
4,4,2,-1
4,4,3,-1
4,4,4,-1
4,4,5,-1
4,4,6,-1
4,4,7,-1
4,4,8,-1
4,4,9,-1
4,4,10,-1
4,5,1,-1
4,5,2,-1
4,5,3,-1
4,5,4,-1
4,5,5,-1
4,5,6,-1
4,5,7,-1
4,5,8,-1
4,5,9,-1
4,5,10,-1
4,6,1,-1
4,6,2,-1
4,6,3,-1
4,6,4,-1
4,6,5,-1
4,6,6,-1
4,6,7,-1
4,6,8,-1
4,6,9,-1
4,6,10,-1
4,7,1,-1
4,7,2,-1
4,7,3,-1
4,7,4,-1
4,7,5,-1
4,7,6,-1
4,7,7,-1
4,7,8,-1
4,7,9,-1
4,7,10,-1
4,8,1,-1
4,8,2,-1
4,8,3,-1
4,8,4,-1
4,8,5,-1
4,8,6,-1
4,8,7,-1
4,8,8,-1
4,8,9,-1
4,8,10,-1
4,9,1,-1
4,9,2,-1
4,9,3,-1
4,9,4,-1
4,9,5,-1
4,9,6,-1
4,9,7,-1
4,9,8,-1
4,9,9,-1
4,9,10,-1
4,10,1,-1
4,10,2,-1
4,10,3,-1
4,10,4,-1
4,10,5,-1
4,10,6,-1
4,10,7,-1
4,10,8,-1
4,10,9,-1
4,10,10,-1
4,11,1,-1
4,11,2,-1
4,11,3,-1
4,11,4,-1
4,11,5,-1
4,11,6,-1
4,11,7,-1
4,11,8,-1
4,11,9,-1
4,11,10,-1
4,12,1,-1
4,12,2,-1
4,12,3,-1
4,12,4,-1
4,12,5,-1
4,12,6,-1
4,12,7,-1
4,12,8,-1
4,12,9,-1
4,12,10,-1
4,13,1,-1
4,13,2,-1
4,13,3,-1
4,13,4,-1
4,13,5,-1
4,13,6,-1
4,13,7,-1
4,13,8,-1
4,13,9,-1
4,13,10,-1
4,14,1,-1
4,14,2,-1
4,14,3,-1
4,14,4,-1
4,14,5,-1
4,14,6,-1
4,14,7,-1
4,14,8,-1
4,14,9,-1
4,14,10,-1
4,15,1,-1
4,15,2,-1
4,15,3,-1
4,15,4,-1
4,15,5,-1
4,15,6,-1
4,15,7,-1
4,15,8,-1
4,15,9,-1
4,15,10,-1
4,16,1,-1
4,16,2,-1
4,16,3,-1
4,16,4,-1
4,16,5,-1
4,16,6,-1
4,16,7,-1
4,16,8,-1
4,16,9,-1
4,16,10,-1
4,17,1,-1
4,17,2,-1
4,17,3,-1
4,17,4,-1
4,17,5,-1
4,17,6,-1
4,17,7,-1
4,17,8,-1
4,17,9,-1
4,17,10,-1
4,18,1,-1
4,18,2,-1
4,18,3,-1
4,18,4,-1
4,18,5,-1
4,18,6,-1
4,18,7,-1
4,18,8,-1
4,18,9,-1
4,18,10,-1
4,19,1,-1
4,19,2,-1
4,19,3,-1
4,19,4,-1
4,19,5,-1
4,19,6,-1
4,19,7,-1
4,19,8,-1
4,19,9,-1
4,19,10,-1
4,20,1,-1
4,20,2,-1
4,20,3,-1
4,20,4,-1
4,20,5,-1
4,20,6,-1
4,20,7,-1
4,20,8,-1
4,20,9,-1
4,20,10,-1
4,21,1,-1
4,21,2,-1
4,21,3,-1
4,21,4,-1
4,21,5,-1
4,21,6,-1
4,21,7,-1
4,21,8,-1
4,21,9,-1
4,21,10,-1
4,22,1,-1
4,22,2,-1
4,22,3,-1
4,22,4,-1
4,22,5,-1
4,22,6,-1
4,22,7,-1
4,22,8,-1
4,22,9,-1
4,22,10,-1
4,23,1,-1
4,23,2,-1
4,23,3,-1
4,23,4,-1
4,23,5,-1
4,23,6,-1
4,23,7,-1
4,23,8,-1
4,23,9,-1
4,23,10,-1
5,0,1,-1
5,0,2,-1
5,0,3,-1
5,0,4,-1
5,0,5,-1
5,0,6,-1
5,0,7,-1
5,0,8,-1
5,0,9,-1
5,0,10,-1
5,1,1,-1
5,1,2,-1
5,1,3,-1
5,1,4,-1
5,1,5,-1
5,1,6,-1
5,1,7,-1
5,1,8,-1
5,1,9,-1
5,1,10,-1
5,2,1,-1
5,2,2,-1
5,2,3,-1
5,2,4,-1
5,2,5,-1
5,2,6,-1
5,2,7,-1
5,2,8,-1
5,2,9,-1
5,2,10,-1
5,3,1,-1
5,3,2,-1
5,3,3,-1
5,3,4,-1
5,3,5,-1
5,3,6,-1
5,3,7,-1
5,3,8,-1
5,3,9,-1
5,3,10,-1
5,4,1,-1
5,4,2,-1
5,4,3,-1
5,4,4,-1
5,4,5,-1
5,4,6,-1
5,4,7,-1
5,4,8,-1
5,4,9,-1
5,4,10,-1
5,5,1,-1
5,5,2,-1
5,5,3,-1
5,5,4,-1
5,5,5,-1
5,5,6,-1
5,5,7,-1
5,5,8,-1
5,5,9,-1
5,5,10,-1
5,6,1,-1
5,6,2,-1
5,6,3,-1
5,6,4,-1
5,6,5,-1
5,6,6,-1
5,6,7,-1
5,6,8,-1
5,6,9,-1
5,6,10,-1
5,7,1,-1
5,7,2,-1
5,7,3,-1
5,7,4,-1
5,7,5,-1
5,7,6,-1
5,7,7,-1
5,7,8,-1
5,7,9,-1
5,7,10,-1
5,8,1,-1
5,8,2,-1
5,8,3,-1
5,8,4,-1
5,8,5,-1
5,8,6,-1
5,8,7,-1
5,8,8,-1
5,8,9,-1
5,8,10,-1
5,9,1,-1
5,9,2,-1
5,9,3,-1
5,9,4,-1
5,9,5,-1
5,9,6,-1
5,9,7,-1
5,9,8,-1
5,9,9,-1
5,9,10,-1
5,10,1,-1
5,10,2,-1
5,10,3,-1
5,10,4,-1
5,10,5,-1
5,10,6,-1
5,10,7,-1
5,10,8,-1
5,10,9,-1
5,10,10,-1
5,11,1,-1
5,11,2,-1
5,11,3,-1
5,11,4,-1
5,11,5,-1
5,11,6,-1
5,11,7,-1
5,11,8,-1
5,11,9,-1
5,11,10,-1
5,12,1,-1
5,12,2,-1
5,12,3,-1
5,12,4,-1
5,12,5,-1
5,12,6,-1
5,12,7,-1
5,12,8,-1
5,12,9,-1
5,12,10,-1
5,13,1,-1
5,13,2,-1
5,13,3,-1
5,13,4,-1
5,13,5,-1
5,13,6,-1
5,13,7,-1
5,13,8,-1
5,13,9,-1
5,13,10,-1
5,14,1,-1
5,14,2,-1
5,14,3,-1
5,14,4,-1
5,14,5,-1
5,14,6,-1
5,14,7,-1
5,14,8,-1
5,14,9,-1
5,14,10,-1
5,15,1,-1
5,15,2,-1
5,15,3,-1
5,15,4,-1
5,15,5,-1
5,15,6,-1
5,15,7,-1
5,15,8,-1
5,15,9,-1
5,15,10,-1
5,16,1,-1
5,16,2,-1
5,16,3,-1
5,16,4,-1
5,16,5,-1
5,16,6,-1
5,16,7,-1
5,16,8,-1
5,16,9,-1
5,16,10,-1
5,17,1,-1
5,17,2,-1
5,17,3,-1
5,17,4,-1
5,17,5,-1
5,17,6,-1
5,17,7,-1
5,17,8,-1
5,17,9,-1
5,17,10,-1
5,18,1,-1
5,18,2,-1
5,18,3,-1
5,18,4,-1
5,18,5,-1
5,18,6,-1
5,18,7,-1
5,18,8,-1
5,18,9,-1
5,18,10,-1
5,19,1,-1
5,19,2,-1
5,19,3,-1
5,19,4,-1
5,19,5,-1
5,19,6,-1
5,19,7,-1
5,19,8,-1
5,19,9,-1
5,19,10,-1
5,20,1,-1
5,20,2,-1
5,20,3,-1
5,20,4,-1
5,20,5,-1
5,20,6,-1
5,20,7,-1
5,20,8,-1
5,20,9,-1
5,20,10,-1
5,21,1,-1
5,21,2,-1
5,21,3,-1
5,21,4,-1
5,21,5,-1
5,21,6,-1
