Day,Hour,Position,Controller_ID
1,0,1,29
1,0,2,71
1,0,3,22
1,0,4,40
1,0,5,63
1,0,6,35
1,0,7,58
1,0,8,18
1,0,9,52
1,0,10,96
1,1,1,92
1,1,2,23
1,1,3,41
1,1,4,43
1,1,5,3
1,1,6,72
1,1,7,31
1,1,8,39
1,1,9,8
1,1,10,54
1,2,1,28
1,2,2,71
1,2,3,60
1,2,4,25
1,2,5,63
1,2,6,56
1,2,7,64
1,2,8,18
1,2,9,30
1,2,10,6
1,3,1,29
1,3,2,81
1,3,3,41
1,3,4,40
1,3,5,14
1,3,6,5
1,3,7,31
1,3,8,77
1,3,9,52
1,3,10,54
1,4,1,28
1,4,2,0
1,4,3,50
1,4,4,25
1,4,5,63
1,4,6,35
1,4,7,58
1,4,8,18
1,4,9,22
1,4,10,60
1,5,1,1
1,5,2,23
1,5,3,41
1,5,4,40
1,5,5,3
1,5,6,72
1,5,7,64
1,5,8,24
1,5,9,55
1,5,10,52
1,6,1,82
1,6,2,0
1,6,3,43
1,6,4,88
1,6,5,78
1,6,6,35
1,6,7,58
1,6,8,39
1,6,9,59
1,6,10,54
1,7,1,70
1,7,2,23
1,7,3,22
1,7,4,40
1,7,5,63
1,7,6,76
1,7,7,31
1,7,8,77
1,7,9,30
1,7,10,52
1,8,1,35
1,8,2,71
1,8,3,41
1,8,4,25
1,8,5,43
1,8,6,72
1,8,7,65
1,8,8,18
1,8,9,81
1,8,10,54
1,9,1,92
1,9,2,23
1,9,3,22
1,9,4,49
1,9,5,63
1,9,6,76
1,9,7,58
1,9,8,39
1,9,9,8
1,9,10,47
1,10,1,4
1,10,2,71
1,10,3,41
1,10,4,43
1,10,5,3
1,10,6,56
1,10,7,64
1,10,8,18
1,10,9,30
1,10,10,52
1,11,1,82
1,11,2,23
1,11,3,50
1,11,4,25
1,11,5,62
1,11,6,72
1,11,7,31
1,11,8,39
1,11,9,55
1,11,10,60
1,12,1,70
1,12,2,0
1,12,3,41
1,12,4,40
1,12,5,3
1,12,6,35
1,12,7,58
1,12,8,77
1,12,9,92
1,12,10,54
1,13,1,27
1,13,2,62
1,13,3,43
1,13,4,56
1,13,5,99
1,13,6,72
1,13,7,64
1,13,8,39
1,13,9,52
1,13,10,65
1,14,1,81
1,14,2,23
1,14,3,50
1,14,4,40
1,14,5,63
1,14,6,92
1,14,7,31
1,14,8,18
1,14,9,30
1,14,10,54
1,15,1,28
1,15,2,58
1,15,3,41
1,15,4,25
1,15,5,3
1,15,6,35
1,15,7,64
1,15,8,7
1,15,9,52
1,15,10,47
1,16,1,70
1,16,2,23
1,16,3,43
1,16,4,40
1,16,5,62
1,16,6,72
1,16,7,31
1,16,8,24
1,16,9,30
1,16,10,54
1,17,1,28
1,17,2,71
1,17,3,50
1,17,4,49
1,17,5,63
1,17,6,22
1,17,7,58
1,17,8,37
1,17,9,52
1,17,10,6
1,18,1,70
1,18,2,23
1,18,3,43
1,18,4,40
1,18,5,3
1,18,6,72
1,18,7,31
1,18,8,18
1,18,9,30
1,18,10,54
1,19,1,28
1,19,2,71
1,19,3,22
1,19,4,49
1,19,5,62
1,19,6,35
1,19,7,58
1,19,8,77
1,19,9,55
1,19,10,48
1,20,1,1
1,20,2,14
1,20,3,43
1,20,4,25
1,20,5,3
1,20,6,72
1,20,7,31
1,20,8,18
1,20,9,30
1,20,10,54
1,21,1,29
1,21,2,23
1,21,3,22
1,21,4,56
1,21,5,62
1,21,6,35
1,21,7,58
1,21,8,64
1,21,9,52
1,21,10,60
1,22,1,28
1,22,2,0
1,22,3,43
1,22,4,49
1,22,5,3
1,22,6,76
1,22,7,65
1,22,8,18
1,22,9,30
1,22,10,47
1,23,1,27
1,23,2,23
1,23,3,50
1,23,4,25
1,23,5,62
1,23,6,35
1,23,7,31
1,23,8,77
1,23,9,52
1,23,10,54
2,0,1,29
2,0,2,23
2,0,3,60
2,0,4,25
2,0,5,3
2,0,6,72
2,0,7,31
2,0,8,39
2,0,9,55
2,0,10,54
2,1,1,28
2,1,2,71
2,1,3,43
2,1,4,49
2,1,5,62
2,1,6,35
2,1,7,75
2,1,8,77
2,1,9,81
2,1,10,87
2,2,1,29
2,2,2,53
2,2,3,50
2,2,4,25
2,2,5,63
2,2,6,72
2,2,7,65
2,2,8,39
2,2,9,30
2,2,10,6
2,3,1,28
2,3,2,71
2,3,3,58
2,3,4,2
2,3,5,3
2,3,6,35
2,3,7,64
2,3,8,18
2,3,9,55
2,3,10,5
2,4,1,27
2,4,2,81
2,4,3,41
2,4,4,43
2,4,5,63
2,4,6,72
2,4,7,31
2,4,8,37
2,4,9,52
