Episode,Reward,Violations,Unassigned_Positions,Non_Violated_Assignments
1,8860.0,36,9,1146
2,9290.0,36,6,1146
3,9030.0,41,7,1141
4,10080.0,31,3,1149
5,9610.0,35,5,1146
6,10120.0,25,8,1151
7,9830.0,36,4,1144
8,8580.0,42,8,1142
9,7850.0,51,1,1143
10,10480.0,27,2,1152
11,10180.0,27,4,1152
12,8160.0,47,6,1141
13,7450.0,59,3,1134
14,9550.0,31,6,1150
15,9000.0,36,6,1148
16,7510.0,51,8,1139
17,10470.0,27,3,1151
18,8570.0,47,2,1142
19,9230.0,32,6,1151
20,8330.0,46,8,1139
21,9210.0,38,4,1146
22,8200.0,51,3,1139
23,10160.0,30,7,1146
24,8810.0,41,4,1146
25,9430.0,37,9,1141
26,8800.0,38,7,1146
27,8350.0,50,2,1140
28,8460.0,46,3,1143
29,9930.0,25,3,1157
30,10860.0,22,1,1156
31,9770.0,34,4,1147
32,10070.0,33,3,1147
33,10030.0,29,5,1150
34,9940.0,33,5,1146
35,9280.0,36,7,1145
36,8510.0,50,6,1135
37,8530.0,43,4,1145
38,9570.0,36,7,1143
39,9180.0,40,6,1142
40,9110.0,38,7,1144
41,8530.0,50,4,1137
42,10040.0,27,4,1153
43,10030.0,34,1,1148
44,9860.0,35,2,1147
45,9870.0,35,1,1148
46,10320.0,29,6,1147
47,9470.0,39,6,1141
48,9300.0,41,2,1144
49,9360.0,39,4,1144
50,10460.0,27,4,1150
51,9620.0,33,3,1150
52,10690.0,17,4,1160
53,10250.0,29,1,1152
54,10170.0,22,6,1156
55,8590.0,41,5,1146
56,9660.0,32,9,1145
57,10060.0,27,7,1150
58,6550.0,60,9,1134
59,9480.0,34,7,1146
60,9630.0,40,5,1140
61,8570.0,48,2,1141
62,9090.0,44,3,1141
63,9580.0,41,3,1141
64,9450.0,35,4,1148
65,9680.0,43,1,1140
66,8610.0,46,6,1139
67,10480.0,27,3,1151
68,8870.0,42,8,1140
69,9480.0,28,9,1151
70,8740.0,47,5,1138
71,10670.0,22,0,1158
72,8800.0,44,4,1142
73,8720.0,49,5,1136
74,9870.0,28,4,1153
75,10250.0,25,4,1154
76,8840.0,43,5,1142
77,9670.0,31,4,1151
78,7660.0,45,14,1139
79,10280.0,29,1,1152
80,9960.0,31,6,1147
81,9980.0,30,3,1151
82,8530.0,45,10,1137
83,8490.0,47,9,1136
84,8900.0,45,3,1141
85,8810.0,37,5,1149
86,10080.0,33,3,1147
87,8660.0,46,8,1137
88,10090.0,32,4,1147
89,8360.0,47,11,1135
90,10150.0,28,2,1153
91,9730.0,28,6,1152
92,7720.0,58,6,1131
93,9230.0,38,4,1146
94,9480.0,28,9,1151
95,10030.0,34,5,1144
96,8410.0,39,15,1140
97,9030.0,35,7,1148
98,8650.0,43,5,1143
99,10340.0,27,3,1152
100,8910.0,45,5,1139
101,9400.0,31,8,1149
102,9530.0,36,4,1146
103,9100.0,37,6,1146
104,9530.0,34,3,1150
105,9400.0,32,8,1148
106,10280.0,30,3,1149
107,9810.0,26,8,1152
108,9480.0,34,7,1146
109,9770.0,33,4,1148
110,9260.0,37,5,1146
111,9510.0,39,4,1143
112,9980.0,24,5,1156
113,10120.0,25,7,1152
114,9260.0,36,6,1146
115,9960.0,25,6,1154
116,10000.0,35,3,1145
117,9970.0,30,3,1151
118,9350.0,39,4,1144
119,7840.0,48,8,1140
120,9280.0,36,6,1146
121,9600.0,34,5,1147
122,9660.0,31,4,1151
123,8400.0,53,4,1135
124,8720.0,41,7,1143
125,9770.0,31,3,1151
126,9840.0,36,5,1143
127,7380.0,57,5,1135
128,9010.0,36,8,1146
129,9840.0,43,3,1137
130,9750.0,33,3,1149
131,9400.0,37,4,1146
132,9690.0,37,4,1144
133,8970.0,30,7,1154
134,9770.0,28,7,1151
135,10840.0,23,3,1153
136,7550.0,60,4,1134
137,10100.0,25,4,1155
138,4970.0,91,2,1121
139,9970.0,26,9,1150
140,9160.0,40,4,1144
141,9770.0,33,5,1147
142,9870.0,28,3,1154
143,9690.0,36,3,1146
144,8630.0,39,7,1146
145,9940.0,31,5,1148
146,8910.0,40,5,1145
147,8850.0,41,4,1145
148,9710.0,41,3,1140
149,9940.0,26,7,1152
150,9990.0,31,5,1148
151,9170.0,34,6,1149
152,10040.0,26,3,1155
153,9190.0,39,1,1148
154,9600.0,35,5,1146
155,8080.0,50,3,1141
156,8490.0,53,5,1134
157,7510.0,60,2,1134
158,9820.0,37,2,1145
159,10720.0,22,1,1157
160,10360.0,26,4,1152
161,4100.0,100,4,1114
162,9750.0,28,7,1151
163,9740.0,34,3,1148
164,8540.0,45,10,1137
165,8340.0,46,6,1141
166,9970.0,23,4,1158
167,11440.0,15,0,1161
168,7660.0,55,5,1136
169,10130.0,30,3,1150
170,8840.0,37,9,1145
171,9490.0,33,5,1149
172,9280.0,36,5,1147
173,10260.0,24,5,1154
174,10030.0,29,5,1150
175,10930.0,19,1,1159
176,10490.0,27,3,1151
177,8750.0,46,4,1140
178,8350.0,47,8,1138
179,9770.0,27,7,1152
180,9510.0,38,2,1146
181,8360.0,46,3,1144
182,8700.0,36,9,1147
