Episode,Reward,Violations,Invalid_Assignments,Non_Violated_Assignments
1,15370.0,94,94,1586
2,15315.0,98,98,1583
3,15295.0,99,99,1585
4,15335.0,108,108,1576
5,15925.0,64,64,1617
6,15465.0,98,98,1582
7,15765.0,76,76,1604
8,15525.0,86,86,1594
9,15205.0,101,101,1579
10,15485.0,94,94,1586
11,15385.0,103,103,1579
12,15375.0,97,97,1583
13,15340.0,98,98,1584
14,15530.0,86,86,1594
15,15650.0,85,85,1596
16,15530.0,89,89,1592
17,15325.0,102,102,1578
18,15690.0,74,74,1606
19,15545.0,84,84,1597
20,15320.0,102,102,1578
21,15335.0,110,110,1571
22,15625.0,80,80,1600
23,15105.0,115,115,1568
24,15495.0,90,90,1590
25,15455.0,91,91,1589
26,15570.0,78,78,1602
27,15575.0,82,82,1599
28,15450.0,103,103,1581
29,15700.0,75,75,1606
30,15460.0,90,90,1593
31,15575.0,83,83,1597
32,15830.0,67,67,1613
33,15440.0,88,88,1592
34,15710.0,75,75,1605
35,15450.0,94,94,1587
36,15845.0,65,65,1615
37,15300.0,101,101,1580
38,15620.0,83,83,1597
39,15710.0,73,73,1607
40,15735.0,72,72,1608
41,15530.0,81,81,1599
42,15595.0,77,77,1604
43,15575.0,80,80,1600
44,15795.0,71,71,1609
45,15800.0,71,71,1610
46,15695.0,80,80,1600
47,15355.0,93,93,1587
48,15685.0,73,73,1607
49,15640.0,77,77,1604
50,15675.0,71,71,1609
51,15350.0,105,105,1577
52,15695.0,78,78,1602
53,15525.0,89,89,1591
54,15450.0,83,83,1598
55,15625.0,75,75,1605
56,15330.0,100,100,1584
57,15490.0,88,88,1592
58,15225.0,116,116,1564
59,15370.0,95,95,1586
60,15735.0,73,73,1607
61,14830.0,140,140,1546
62,15555.0,86,86,1594
63,15465.0,87,87,1593
64,15540.0,88,88,1593
65,15635.0,82,82,1601
66,15355.0,102,102,1579
67,15625.0,71,71,1609
68,15495.0,86,86,1594
69,15450.0,86,86,1594
70,15425.0,92,92,1589
71,15145.0,117,117,1563
72,15585.0,87,87,1594
73,15790.0,69,69,1611
74,15400.0,95,95,1585
75,15660.0,84,84,1597
76,15580.0,80,80,1600
77,15430.0,98,98,1583
78,15590.0,80,80,1600
79,15415.0,96,96,1584
80,15585.0,82,82,1599
81,15620.0,78,78,1602
82,15725.0,74,74,1606
83,15510.0,93,93,1588
84,15540.0,86,86,1595
85,15385.0,96,96,1585
86,15390.0,100,100,1580
87,15635.0,84,84,1596
88,15510.0,87,87,1593
89,15710.0,79,79,1601
90,15635.0,87,87,1595
91,15550.0,78,78,1602
92,15480.0,95,95,1586
93,15555.0,80,80,1600
94,15480.0,88,88,1593
