Episode,Reward
1,-136.96428847312927
2,-142.70408475399017
3,-170.0765334367752
4,-154.24745190143585
5,-157.11734998226166
6,-141.26275753974915
7,-125.4081654548645
8,-157.1428599357605
9,-148.50765585899353
10,-139.82143139839172
11,-145.59949278831482
12,-145.58673763275146
13,-155.67602336406708
14,-151.37755393981934
15,-154.2602070569992
16,-138.36734998226166
17,-148.48214614391327
18,-142.70408403873444
19,-161.42857480049133
20,-160.00000309944153
21,-152.79337000846863
22,-155.68877828121185
23,-145.57398211956024
24,-141.27551305294037
25,-132.62755250930786
26,-162.8826562166214
27,-151.35204339027405
28,-138.38010454177856
29,-154.2346968650818
30,-135.49745166301727
31,-144.15816640853882
32,-155.688778758049
33,-161.44132888317108
34,-148.4693900346756
35,-139.8469408750534
36,-136.9515335559845
37,-151.36479878425598
38,-147.0408183336258
39,-129.73214542865753
40,-138.38010454177856
41,-125.40816569328308
42,-122.52551257610321
43,-152.81888020038605
44,-141.2755128145218
45,-144.15816569328308
46,-139.83418679237366
47,-135.5102061033249
48,-170.1020438671112
49,-158.55867648124695
50,-136.95153331756592
51,-134.0688806772232
52,-141.2755128145218
53,-125.42092084884644
54,-164.3239815235138
55,-152.80612587928772
56,-136.95153379440308
57,-144.13265526294708
58,-134.05612540245056
59,-134.04336977005005
60,-142.71683943271637
61,-144.15816569328308
62,-139.84694111347198
63,-145.59949254989624
64,-125.40816521644592
65,-132.61479878425598
66,-158.55867648124695
67,-148.48214614391327
68,-147.04081904888153
69,-151.3520429134369
70,-149.9234721660614
71,-139.80867624282837
72,-152.78061485290527
73,-158.5714304447174
74,-139.85969531536102
75,-128.30357420444489
76,-152.78061532974243
77,-134.0688794851303
78,-136.95153284072876
79,-164.32398176193237
80,-147.0408192873001
81,-157.13010501861572
82,-141.2755128145218
83,-121.10969650745392
84,-161.44132936000824
85,-142.71683847904205
86,-136.9515335559845
87,-136.9515335559845
88,-135.49745190143585
89,-141.28826820850372
90,-144.1454108953476
91,-158.57143139839172
92,-152.81888091564178
93,-126.84949254989624
94,-154.23469734191895
95,-160.0000033378601
96,-149.9234721660614
97,-145.5994930267334
98,-149.91071712970734
99,-158.57143115997314
100,-152.7933702468872
101,-162.89541053771973
102,-157.13010454177856
103,-147.0408192873001
104,-157.13010573387146
105,-126.87500274181366
106,-141.2755128145218
107,-160.02551305294037
108,-138.39285969734192
109,-148.48214519023895
110,-138.38010478019714
111,-142.7168391942978
112,-141.25000309944153
113,-155.67602360248566
114,-136.95153284072876
115,-157.11735045909882
116,-139.82143139839172
117,-144.17092108726501
118,-174.42602288722992
119,-135.49745094776154
120,-155.67602217197418
121,-142.71683943271637
122,-149.91071712970734
123,-147.02806329727173
124,-161.46683979034424
125,-138.40561485290527
126,-149.93622732162476
127,-161.45408475399017
128,-165.76530933380127
129,-152.80612540245056
130,-145.58673763275146
131,-138.38010430335999
132,-131.1862268447876
133,-119.64285945892334
134,-147.05357444286346
135,-132.61479783058167
136,-136.9515335559845
137,-149.92347192764282
138,-145.61224782466888
139,-147.0408183336258
140,-147.02806425094604
141,-139.82143139839172
142,-136.93877851963043
143,-141.26275730133057
144,-149.9234721660614
145,-160.012757897377
146,-149.92347168922424
147,-158.5586760044098
148,-144.15816593170166
149,-151.36479830741882
150,-149.92347264289856
151,-149.92347168922424
152,-142.6913297176361
153,-148.4821459054947
154,-141.2627580165863
155,-145.58673739433289
156,-141.26275825500488
157,-138.39285898208618
158,-147.04081904888153
159,-144.13265645503998
160,-147.01530861854553
161,-149.92347121238708
162,-157.11735022068024
163,-147.05357372760773
164,-139.83418655395508
165,-152.78061532974243
166,-142.71683943271637
167,-129.7321456670761
168,-149.92347145080566
169,-155.688778758049
170,-155.67602384090424
171,-121.12245154380798
172,-154.2346968650818
173,-135.52296233177185
174,-154.2474514245987
175,-148.46939074993134
176,-161.44132888317108
177,-147.02806425094604
178,-158.55867624282837
179,-144.13265550136566
180,-142.71683990955353
181,-126.84949159622192
182,-155.67602288722992
183,-147.0408192873001
184,-160.01275837421417
185,-148.46938979625702
186,-149.89796221256256
187,-151.35204362869263
188,-144.15816569328308
189,-152.80612587928772
190,-161.44132959842682
191,-128.30357420444489
192,-142.72959423065186
193,-158.5586757659912
194,-138.38010478019714
195,-144.14541161060333
196,-147.02806401252747
197,-138.3928599357605
198,-135.51020658016205
199,-155.6760231256485
200,-144.17092108726501
201,-171.51786029338837
202,-144.1581654548645
203,-147.0408195257187
204,-168.63520658016205
205,-141.26275825500488
206,-142.7168391942978
207,-171.5178600549698
208,-164.32398223876953
209,-154.23469638824463
210,-144.1454108953476
211,-145.59949278831482
212,-152.81888020038605
213,-126.86224794387817
214,-139.83418655395508
215,-147.01530838012695
216,-145.5994930267334
217,-142.7040845155716
218,-154.23469638824463
219,-165.75255298614502
220,-136.92602336406708
221,-141.25000286102295
222,-149.92347168922424
223,-160.012757897377
224,-145.58673763275146
225,-151.3647985458374
226,-154.2346968650818
227,-147.0408192873001
228,-131.18622660636902
229,-142.6913299560547
230,-157.1173495054245
231,-135.51020634174347
232,-160.00000286102295
233,-141.2755128145218
234,-157.13010478019714
235,-145.59949254989624
236,-149.91071712970734
237,-138.38010454177856
238,-139.83418679237366
239,-147.02806401252747
240,-158.59694182872772
241,-144.14541113376617
242,-154.2219409942627
243,-162.89541172981262
244,-160.00000309944153
245,-135.5229618549347
246,-158.5714316368103
247,-157.13010454177856
248,-149.91071712970734
249,-160.012757897377
250,-155.68877851963043
251,-147.02806425094604
252,-157.11734902858734
253,-152.79336977005005
254,-147.04081881046295
255,-161.42857456207275
256,-129.71939086914062
257,-175.85459530353546
258,-135.5102070569992
259,-158.54592144489288
260,-144.18367612361908
261,-147.04081904888153
262,-145.57398235797882
263,-139.84694159030914
264,-135.51020681858063
265,-144.17092108726501
266,-123.97959446907043
267,-152.78061485290527
268,-147.02806329727173
269,-157.13010430335999
270,-148.46939074993134
271,-148.4949004650116
272,-147.01530933380127
273,-135.5229616165161
274,-139.83418655395508
275,-142.71683967113495
276,-128.3163286447525
277,-149.91071689128876
278,-154.24745166301727
279,-128.3035739660263
280,-149.92347240447998
281,-121.0969408750534
282,-145.58673739433289
283,-148.46939027309418
284,-126.83673739433289
285,-139.82143115997314
286,-142.729594707489
287,-142.71683967113495
288,-128.29081892967224
289,-135.51020634174347
290,-161.45408499240875
291,-131.17347157001495
292,-144.14541041851044
293,-136.9642882347107
294,-152.8061249256134
295,-134.05612540245056
296,-155.688778758049
297,-134.05612540245056
298,-164.33673739433289
299,-136.9387778043747
300,-135.51020658016205
301,-128.30357420444489
302,-151.35204339027405
303,-149.9362268447876
304,-134.0688806772232
305,-149.92347192764282
306,-162.88265550136566
307,-145.58673739433289
308,-141.2755128145218
309,-164.31122720241547
310,-135.51020658016205
311,-142.70408403873444
312,-135.51020681858063
313,-141.26275777816772
314,-132.62755298614502
315,-139.84694159030914
316,-141.30102348327637
317,-151.33928859233856
318,-125.40816521644592
319,-155.68877828121185
320,-147.01530861854553
321,-129.75765562057495
322,-158.57143092155457
323,-125.42092084884644
324,-154.22194170951843
325,-142.7168391942978
326,-154.2474514245987
327,-158.59694135189056
328,-141.26275730133057
329,-134.05612540245056
330,-141.25000262260437
331,-112.44898176193237
332,-144.14541113376617
333,-147.05357372760773
334,-142.72959423065186
335,-147.05357420444489
336,-144.14541065692902
337,-138.39285945892334
338,-154.23469710350037
339,-139.80867624282837
340,-135.49745166301727
341,-136.9387778043747
342,-170.08928859233856
343,-126.84949207305908
344,-129.75765585899353
345,-145.58673763275146
346,-148.46939074993134
347,-145.59949254989624
348,-149.9234721660614
349,-139.84694135189056
350,-125.40816593170166
351,-139.8341851234436
352,-161.45408403873444
353,-132.6403089761734
354,-165.77806437015533
355,-138.39286017417908
356,-138.39285969734192
357,-139.83418703079224
358,-144.15816521644592
359,-170.1147985458374
360,-157.14285969734192
361,-152.78061509132385
362,-159.98724818229675
363,-139.84694182872772
364,-122.55102300643921
365,-151.3520438671112
366,-161.44132888317108
367,-145.58673739433289
368,-145.5739825963974
369,-167.20663559436798
370,-126.84949207305908
371,-131.19898223876953
372,-151.35204410552979
373,-132.62755298614502
374,-144.17092108726501
375,-162.89541149139404
376,-145.58673787117004
377,-154.2346966266632
378,-141.26275777816772
379,-148.46939098834991
380,-139.82143115997314
381,-134.08163559436798
382,-157.11734974384308
383,-136.95153307914734
384,-131.16071712970734
385,-151.36479926109314
386,-151.36479902267456
387,-154.23469710350037
388,-149.91071712970734
389,-148.49490070343018
390,-138.38010478019714
391,-139.82143139839172
392,-165.7525544166565
393,-161.45408523082733
394,-142.7168389558792
395,-128.30357420444489
396,-134.05612516403198
397,-136.93877828121185
398,-165.75255417823792
399,-158.5714316368103
400,-152.79336953163147
401,-139.83418655395508
402,-144.13265645503998
403,-148.48214519023895
404,-145.58673787117004
405,-135.51020658016205
406,-145.58673787117004
407,-139.8469408750534
408,-144.13265526294708
409,-135.48469614982605
410,-139.80867624282837
411,-158.5586757659912
412,-155.688778758049
413,-145.58673787117004
414,-145.57398211956024
415,-136.93877828121185
416,-152.79337000846863
417,-142.7040845155716
418,-148.46939051151276
419,-164.33673739433289
420,-144.14541041851044
421,-126.8622477054596
422,-142.69132900238037
423,-138.38010501861572
424,-151.33928835391998
425,-139.83418536186218
426,-144.1454108953476
427,-149.9107176065445
428,-142.70408475399017
429,-148.46939027309418
430,-145.59949231147766
431,-162.86990129947662
432,-161.46683955192566
433,-136.93877804279327
434,-148.46939027309418
435,-141.27551305294037
436,-134.08163559436798
437,-139.8341863155365
438,-125.40816617012024
439,-135.51020634174347
440,-141.25000262260437
441,-149.91071712970734
442,-134.06888043880463
443,-148.4821459054947
444,-128.30357348918915
445,-162.88265645503998
446,-170.07653319835663
447,-145.59949207305908
448,-139.83418655395508
449,-145.58673691749573
450,-144.13265526294708
451,-154.24745094776154
452,-170.0765334367752
453,-147.02806448936462
454,-139.83418583869934
455,-138.39286017417908
456,-136.9515335559845
457,-145.5867371559143
458,-170.08928859233856
459,-144.15816593170166
460,-149.91071712970734
461,-136.95153331756592
462,-136.96428871154785
463,-151.3647985458374
464,-160.012757897377
465,-145.5994918346405
466,-138.40561413764954
467,-151.36479830741882
468,-152.80612468719482
469,-154.26020658016205
470,-171.5433704853058
471,-147.02806329727173
472,-147.05357372760773
473,-135.49745118618011
474,-152.80612516403198
475,-145.58673739433289
476,-141.2627580165863
477,-172.98469746112823
478,-142.70408380031586
479,-160.00000309944153
480,-141.2755128145218
481,-123.96683871746063
482,-123.96683919429779
483,-142.71683967113495
484,-149.91071712970734
485,-157.11734902858734
486,-135.5102058649063
487,-135.49745190143585
488,-131.19898223876953
489,-167.20663511753082
490,-152.79336977005005
491,-142.71683871746063
492,-125.4081654548645
493,-141.26275777816772
494,-149.9234721660614
495,-142.72959446907043
496,-134.06888020038605
497,-129.74490082263947
498,-142.729594707489
499,-158.58418571949005
500,-145.58673787117004
501,-164.32398223876953
502,-132.64030826091766
503,-134.05612516403198
504,-129.74490010738373
505,-149.92347192764282
506,-144.15816617012024
507,-135.52296209335327
508,-157.11734998226166
509,-161.4285740852356
510,-145.59949278831482
511,-145.58673739433289
512,-142.70408403873444
513,-147.04081904888153
514,-134.06888020038605
515,-157.1428599357605
516,-134.08163511753082
517,-131.1862268447876
518,-160.0000035762787
519,-139.84694063663483
520,-170.1020429134369
521,-152.8061261177063
522,-142.69132900238037
523,-162.88265597820282
524,-145.59949278831482
525,-136.9260231256485
526,-131.1734722852707
527,-135.49745118618011
528,-154.23469638824463
529,-135.51020681858063
530,-139.8341851234436
531,-139.821430683136
532,-128.30357420444489
533,-151.36479830741882
534,-125.4209213256836
535,-152.79337072372437
536,-139.821430683136
537,-145.5867371559143
538,-135.5229616165161
539,-157.11734998226166
540,-154.2346968650818
541,-132.62755393981934
542,-122.53826797008514
543,-125.42092084884644
544,-131.18622756004333
545,-141.26275777816772
546,-160.01275765895844
547,-129.7449003458023
548,-144.1581666469574
549,-126.87500202655792
550,-131.1734722852707
551,-148.46939074993134
552,-129.74490082263947
553,-164.33673858642578
554,-155.6760231256485
555,-147.06632804870605
556,-151.3647985458374
557,-151.35204339027405
558,-155.67602264881134
559,-135.4974514245987
560,-161.45408499240875
561,-145.5739825963974
562,-147.04081881046295
563,-135.53571724891663
564,-154.23469638824463
565,-160.00000286102295
566,-152.7933690547943
567,-174.42602288722992
568,-145.58673739433289
569,-162.90816617012024
570,-154.24745166301727
571,-123.97959446907043
572,-147.04081857204437
573,-152.79337000846863
574,-135.49745166301727
575,-141.27551305294037
576,-145.57398235797882
577,-144.13265550136566
578,-136.9387778043747
579,-129.73214542865753
580,-138.39286017417908
581,-139.83418560028076
582,-148.49490070343018
583,-157.13010501861572
584,-155.67602407932281
585,-131.17347180843353
586,-141.2882684469223
587,-128.30357372760773
588,-160.00000309944153
589,-141.288267493248
590,-134.06887996196747
591,-154.22194147109985
592,-145.59949278831482
593,-164.33673787117004
594,-149.91071665287018
595,-144.14541137218475
596,-135.49745190143585
597,-142.70408403873444
598,-145.61224782466888
599,-147.0280635356903
600,-161.44132912158966
601,-144.15816569328308
602,-154.24745166301727
603,-148.46939074993134
604,-136.9387778043747
605,-134.05612516403198
606,-149.91071712970734
607,-145.57398283481598
608,-154.23469710350037
609,-144.14541113376617
610,-144.13265597820282
611,-149.91071712970734
612,-145.61224734783173
613,-147.05357444286346
614,-119.65561485290527
615,-167.2321459054947
616,-139.83418583869934
617,-148.48214542865753
618,-148.48214542865753
619,-154.2346966266632
620,-147.0408192873001
621,-147.02806425094604
622,-145.58673763275146
623,-145.61224806308746
624,-136.95153284072876
625,-164.31122648715973
626,-141.2627580165863
627,-158.57143211364746
628,-149.92347121238708
629,-154.23469638824463
630,-147.02806401252747
631,-129.71939086914062
632,-134.06888020038605
633,-128.29081916809082
634,-147.04081904888153
635,-147.0408192873001
636,-149.91071736812592
637,-167.20663487911224
638,-160.00000309944153
639,-160.01275765895844
640,-148.48214542865753
641,-132.62755370140076
642,-138.3928599357605
643,-142.71683967113495
644,-144.14541113376617
645,-135.49745190143585
646,-142.7168389558792
647,-131.16071689128876
648,-128.2780637741089
649,-134.04337000846863
650,-121.08418607711792
651,-138.38010501861572
652,-134.05612516403198
653,-139.8214316368103
654,-136.95153260231018
655,-142.7040845155716
656,-155.6887778043747
657,-135.4974514245987
658,-141.3010230064392
659,-149.9362277984619
660,-148.4821459054947
661,-148.46939027309418
662,-148.48214519023895
663,-142.7168401479721
664,-121.09694135189056
665,-151.35204362869263
666,-172.95918703079224
667,-132.62755250930786
668,-132.61479783058167
669,-160.00000286102295
670,-161.4540845155716
671,-152.80612516403198
672,-135.49745118618011
673,-155.67602336406708
674,-144.14541018009186
675,-134.05612564086914
676,-132.62755346298218
677,-138.38010430335999
678,-141.28826797008514
679,-129.74490082263947
680,-136.93877828121185
681,-162.88265550136566
682,-135.51020681858063
683,-162.88265526294708
684,-138.39286041259766
685,-144.1581666469574
686,-157.10459434986115
687,-154.23469638824463
688,-157.13010478019714
689,-157.10459434986115
690,-147.0153088569641
691,-125.4081654548645
692,-160.0255128145218
693,-141.26275753974915
694,-141.26275777816772
695,-144.14541065692902
696,-154.22194123268127
697,-157.11734998226166
698,-132.60204327106476
699,-131.18622612953186
700,-145.58673739433289
701,-144.15816640853882
702,-134.08163464069366
703,-151.33928883075714
704,-131.18622660636902
705,-132.61479830741882
706,-134.05612468719482
707,-138.3801040649414
708,-152.7933692932129
709,-135.49745094776154
710,-129.74490082263947
711,-135.5229618549347
712,-125.40816569328308
713,-152.79337000846863
714,-118.20153343677521
715,-142.7168389558792
716,-164.3239827156067
717,-139.8214304447174
718,-148.4566352367401
719,-162.88265550136566
720,-149.9362277984619
721,-152.7933704853058
722,-129.7449003458023
723,-134.05612444877625
724,-154.26020634174347
725,-147.0153088569641
726,-151.36479926109314
727,-152.78061485290527
728,-155.67602288722992
729,-151.35204362869263
730,-123.99234986305237
731,-155.688778758049
732,-142.70408427715302
733,-138.39285945892334
734,-138.39285945892334
735,-145.58673739433289
736,-147.05357420444489
737,-134.06888043880463
738,-126.86224746704102
739,-145.59949254989624
740,-134.0561249256134
741,-147.02806401252747
742,-135.48469614982605
743,-160.00000309944153
744,-147.0153090953827
745,-151.36479878425598
746,-134.0561249256134
747,-139.84694135189056
748,-142.7168389558792
749,-155.67602288722992
750,-162.86990106105804
751,-135.51020658016205
752,-167.20663511753082
753,-141.25000286102295
754,-158.54592168331146
755,-148.49490094184875
756,-151.3647985458374
757,-145.58673787117004
758,-147.05357468128204
759,-147.02806401252747
760,-148.49490070343018
761,-139.82143092155457
762,-128.31632912158966
763,-142.6913297176361
764,-148.4821456670761
765,-145.58673739433289
766,-149.91071784496307
767,-158.55867648124695
768,-151.36479926109314
769,-144.14541065692902
770,-136.96428894996643
771,-147.05357468128204
772,-162.90816617012024
773,-138.3928599357605
774,-136.92602288722992
775,-131.17347133159637
776,-129.74489986896515
777,-141.28826797008514
778,-135.48469614982605
779,-148.4949004650116
780,-122.53826773166656
781,-134.06888020038605
782,-145.59949278831482
783,-132.61479902267456
784,-159.9872477054596
785,-151.3520429134369
786,-139.82143139839172
787,-138.39286041259766
788,-149.92347240447998
789,-154.24745166301727
790,-138.4056146144867
791,-132.61479806900024
792,-141.2755128145218
793,-128.30357348918915
794,-136.9387778043747
795,-149.91071689128876
796,-149.91071784496307
797,-141.28826820850372
798,-161.4540845155716
799,-145.58673739433289
800,-147.06632900238037
801,-162.88265550136566
802,-147.0153088569641
803,-132.61479830741882
804,-152.7933704853058
805,-152.80612587928772
806,-158.571430683136
807,-157.1301040649414
808,-147.02806425094604
809,-158.55867552757263
810,-158.57143187522888
811,-157.11734998226166
812,-135.52296209335327
813,-134.06887996196747
814,-162.90816617012024
815,-152.80612516403198
816,-151.36479806900024
817,-135.49745166301727
818,-138.39285945892334
819,-148.46939027309418
820,-139.85969626903534
821,-141.27551209926605
822,-149.92347240447998
823,-135.52296233177185
824,-138.39285969734192
825,-136.96428847312927
826,-149.91071689128876
827,-145.57398235797882
828,-128.31632888317108
829,-142.70408380031586
830,-141.25000262260437
831,-141.26275753974915
832,-142.71683967113495
833,-141.25000262260437
834,-123.96683919429779
835,-158.55867719650269
836,-144.15816593170166
837,-132.62755393981934
838,-151.36479902267456
839,-148.48214542865753
840,-136.95153284072876
841,-145.59949207305908
842,-139.83418583869934
843,-145.58673667907715
844,-151.36479878425598
845,-158.5586760044098
846,-148.46939051151276
847,-155.67602264881134
848,-151.35204339027405
849,-136.9642882347107
850,-132.64030849933624
851,-149.8979617357254
852,-132.62755393981934
853,-144.15816617012024
854,-141.27551305294037
855,-144.1326550245285
856,-134.05612516403198
857,-138.36734974384308
858,-142.71683943271637
859,-154.24745190143585
860,-161.46683979034424
861,-139.80867648124695
862,-148.4693900346756
863,-158.58418691158295
864,-157.13010549545288
865,-155.68877828121185
866,-132.62755274772644
867,-151.36479902267456
868,-141.26275777816772
869,-132.62755370140076
870,-135.51020658016205
871,-136.95153284072876
872,-152.7933704853058
873,-151.3520438671112
874,-119.68112480640411
875,-147.04081881046295
876,-138.4183703660965
877,-139.8214316368103
878,-129.7576560974121
879,-138.38010478019714
880,-126.87500202655792
881,-139.8341863155365
882,-155.6760231256485
883,-141.2627580165863
884,-144.1454108953476
885,-151.35204315185547
886,-154.22194123268127
887,-135.48469591140747
888,-155.688778758049
889,-151.37755393981934
890,-148.4693900346756
891,-119.64285969734192
892,-151.35204362869263
893,-154.23469638824463
894,-148.46938979625702
895,-149.92347240447998
896,-151.37755370140076
897,-147.0280635356903
898,-135.5229616165161
899,-138.38010501861572
900,-126.86224699020386
901,-151.36479902267456
902,-145.57398211956024
903,-157.11734974384308
904,-138.38010430335999
905,-136.95153379440308
906,-141.26275753974915
907,-151.35204339027405
908,-129.73214519023895
909,-145.59949254989624
910,-144.15816569328308
911,-141.2755125761032
912,-151.33928763866425
913,-132.61479878425598
914,-152.81888043880463
915,-151.37755346298218
916,-138.39285969734192
917,-138.39286017417908
918,-136.93877851963043
919,-149.91071665287018
920,-152.7806146144867
921,-161.4413298368454
922,-149.91071665287018
923,-155.68877851963043
924,-141.27551329135895
925,-155.66326808929443
926,-148.46939027309418
927,-162.88265645503998
928,-138.40561366081238
929,-157.10459434986115
930,-141.2500023841858
931,-126.84949254989624
932,-126.86224746704102
933,-122.51275753974915
934,-145.61224782466888
935,-128.30357372760773
936,-145.58673691749573
937,-160.00000286102295
938,-134.0433704853058
939,-161.45408523082733
940,-152.80612540245056
941,-144.17092084884644
942,-164.31122744083405
943,-142.6913297176361
944,-136.95153331756592
945,-175.8673496246338
946,-136.9387778043747
947,-142.69132924079895
948,-129.7449003458023
949,-157.1301052570343
950,-145.58673644065857
951,-145.59949231147766
952,-136.9387778043747
953,-138.4056146144867
954,-155.67602360248566
955,-116.76020634174347
956,-162.89541149139404
